,SrNo,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks,Encoded_VehicleResponsible,Hospital,AccYear,AccMonth,AccDay,HourOfAccident,TimeOfAccAMPM_AM,TimeOfAccAMPM_PM
238,239.0,skidding,1,2 & 5,fourlane,straight,junction,fine,Car over speed hit to run,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,5.0,29.0,9,0,1
239,240.0,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,5.0,29.0,7,0,1
240,241.0,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,3,Ambulance,Car lost control by over speed,car,,2015.0,5.0,29.0,10,1,0
241,242.0,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Over speed car collided with two wheeler,car,,2014.0,5.0,29.0,2,0,1
242,243.0,headoncollision,1,3,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Bike rider was moving in the wrong direction car rammed the bike,twowheeler,,2014.0,4.0,29.0,10,0,1
243,244.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Fault of Agricultural vehicle hit to Truck,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital,truck,JalappaH,2018.0,3.0,29.0,5,1,0
244,245.0,skidding,2 & 3,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,3.0,29.0,7,1,0
245,246.0,headoncollision,1,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to truck,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote,twowheeler,hoskoteH,2017.0,12.0,29.0,11,1,0
246,247.0,skidding,1,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote,twowheeler,hoskoteH,2017.0,12.0,29.0,5,0,1
247,248.0,overspeed,3,1,fourlane,straight,junction,fine,Car over speed self accident. Drunken & Drive,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2017.0,11.0,29.0,2,0,1
248,249.0,others,2 & 3 & 4,1 & 2,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,1,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2014.0,11.0,29.0,8,1,0
249,250.0,others,2 & 3,2 & 4,fourlane,slightcurve,junction,fine,Self accident due to vehicle tyre puncher and over speed vehicle out of control,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2014.0,11.0,29.0,10,0,1
250,251.0,overspeed,2 & 3,7,fourlane,straight,forearmjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,1,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2016.0,10.0,29.0,9,1,0
251,252.0,skidding,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,1.0,29.0,7,1,0
252,253.0,skidding,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to Devaryasamudra Hospital,twowheeler,,2016.0,1.0,29.0,10,0,1
253,254.0,overspeed,1,2,fourlane,straight,junction,fine,Truck over speed and hit to road crossing pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,truck,JalappaH,2017.0,9.0,28.0,6,1,0
254,255.0,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,car,MVJH,2016.0,9.0,28.0,4,0,1
255,256.0,headoncollision,3,2 & 4,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,8.0,28.0,12,1,0
256,257.0,headoncollision,3 & 4,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,8.0,28.0,2,0,1
257,258.0,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car Hit to Truck,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,8.0,28.0,10,1,0
258,259.0,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Truck,0,0,2,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2015.0,8.0,28.0,5,1,0
259,260.0,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,7.0,28.0,2,0,1
260,261.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli,twowheeler,,2017.0,6.0,28.0,10,1,0
261,262.0,overspeed,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital Hoskote,car,hoskoteH,2016.0,6.0,28.0,5,1,0
262,263.0,headoncollision,2 & 3,2 & 5,fourlane,slightcurve,junction,fine,Fault of car vehicle over speed and hit to bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,6.0,28.0,11,1,0
263,264.0,skidding,3,2 & 9,fourlane,straight,junction,fine,Two wheeler over speed Self accident due to defect in mechanical condition,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2017.0,4.0,28.0,9,1,0
264,265.0,overspeed,3,2,fourlane,straight,junction,fine,Car U turn the opening that time opposite car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2016.0,4.0,28.0,1,0,1
265,266.0,headoncollision,1,1,fourlane,slightcurve,junction,fine,Car Hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2015.0,4.0,28.0,3,0,1
266,267.0,others,3,3,fourlane,straight,junction,fine,Mini Truck,0,0,1,0,Ambulance/Petrol Vehicle,Overspeeding of Mini truck collided with truck,truck,,2014.0,4.0,28.0,7,0,1
267,268.0,headoncollision,1 & 2,3 & 4,fourlane,straight,junction,fine,Car hit to two wheeler. Fault of two wheeler illegal opening crossing,1,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,3.0,28.0,7,0,1
268,269.0,overspeed,2,1,fourlane,straight,junction,fine,Three wheeler Driver Drunk & Drive,0,2,0,0,Ambulance,The injured person shifted to Jalappa Hospital,,JalappaH,2016.0,3.0,28.0,9,0,1
269,270.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to the lorry,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2014.0,3.0,28.0,7,1,0
270,271.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,twowheeler,,2018.0,2.0,28.0,1,0,1
271,272.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Rash driving of Tractor and Hit to Mini bus,1,5,0,0,Ambulance/Petrol Vehicle,The Fatal body & Injured person shifted to MVJ Hospital,bus,MVJH,2016.0,2.0,28.0,4,0,1
272,273.0,headoncollision,3,2 & 5,fourlane,slightcurve,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to SNR Hospital,twowheeler,snrH,2016.0,2.0,28.0,10,0,1
273,274.0,headoncollision,1,2 & 5,fourlane,sharpcurve,junction,fine,The vehicle hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital,,snrH,2015.0,2.0,28.0,8,0,1
274,275.0,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,11.0,28.0,7,0,1
275,276.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,1,0,1,0,Ambulance,The fatal & Injured person shifted to Govt. Hospital Hoskote,car,hoskoteH,2016.0,11.0,28.0,3,1,0
276,277.0,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Road Pedestrian,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital,twowheeler,,2015.0,11.0,28.0,8,1,0
277,278.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2016.0,10.0,28.0,11,1,0
278,279.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2016.0,10.0,28.0,11,1,0
279,280.0,others,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,truck,MVJH,2017.0,1.0,28.0,8,1,0
280,281.0,skidding,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,truck,MVJH,2017.0,1.0,28.0,8,1,0
281,282.0,rearendcollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to Agricultural vehicle,1,0,4,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,1.0,28.0,10,0,1
282,283.0,collisionbrush,3,5,fourlane,straight,junction,fine,Car over speed and hit to Truck,0,0,1,0,Petrol Vehicle,The injured person shifted to KR Puram Private Hospital,car,kr puramH,2016.0,9.0,27.0,10,0,1
283,284.0,skidding,4,2,fourlane,straight,junction,fine,Self accident over speed and skidding,0,0,0,2,Ambulance/Petrol Vehicle,The Non injured person shifted Jalappa Hospital,,JalappaH,2015.0,9.0,27.0,5,1,0
284,285.0,skidding,2,1,fourlane,straight,junction,fine,Drunk & Drive Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,8.0,27.0,9,0,1
285,286.0,others,1 & 2,1,fourlane,straight,junction,fine,Bike Over Speed Drunken and Drive,1,1,0,0,Ambulance/Petrol Vehicle,Fatal body shifted to SNR Hospital,twowheeler,snrH,2014.0,8.0,27.0,9,0,1
286,287.0,headoncollision,3,5,fourlane,straight,junction,fine,Truck over speed and hit to car,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,7.0,27.0,10,1,0
287,288.0,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to SNR Hospital,twowheeler,snrH,2016.0,7.0,27.0,10,1,0
288,289.0,headoncollision,3,2 & 3,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injure person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,7.0,27.0,10,0,1
289,290.0,headoncollision,2,2,fourlane,straight,junction,fine,Car over speed and hit to car,0,5,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,6.0,27.0,12,0,1
290,291.0,skidding,3,3 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,6.0,27.0,6,1,0
291,292.0,skidding,1,2,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2015.0,6.0,27.0,5,0,1
292,293.0,skidding,4,3,fourlane,sharpcurve,junction,fine,The car driver sleeping vehicle out of control- non injured,0,0,0,4,Petrol Vehicle,-,car,,2015.0,6.0,27.0,2,1,0
293,294.0,others,4,3,fourlane,straight,junction,fine,Lorry,0,0,0,2,Petrol Vehicle,Over Speed out of control Helping Patrolling.,lorry,,2014.0,6.0,27.0,2,0,1
294,295.0,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bus,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,bus,JalappaH,2016.0,5.0,27.0,6,1,0
295,296.0,headoncollision,3 & 4,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bike,0,0,1,2,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,5.0,27.0,6,1,0
296,297.0,others,3,2 & 3,fourlane,straight,junction,fine,Multi axle over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2016.0,4.0,27.0,9,0,1
297,298.0,headoncollision,2,2,fourlane,straight,junction,fine,Truck over speed and hit to the parked truck,0,1,0,0,Ambulance,The injured person shifted to Govt. Hospital Hoskote,truck,hoskoteH,2016.0,4.0,27.0,5,0,1
298,299.0,skidding,3,3,fourlane,straight,junction,fine,Car over speed Driver sleeping vehicle skidding,0,0,6,0,Ambulance/Petrol Vehicle,The injured person shifted to SNR Hospital,car,snrH,2016.0,3.0,27.0,1,0,1
299,300.0,overspeed,3,2 & 3,fourlane,straight,tjunction,fine,Car over speed vehicle out of control Self accident,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,2.0,27.0,8,0,1
300,301.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2016.0,11.0,27.0,2,0,1
301,302.0,skidding,4,2,fourlane,straight,junction,fine,Bike over speed and skidding self Accident,0,0,0,1,Petrol Vehicle,The person shift to Jalappa Hospital,twowheeler,JalappaH,2015.0,11.0,27.0,12,0,1
302,303.0,headoncollision,4,3 & 5,fourlane,straight,junction,fine,BUS Hit to LCV,0,0,1,2,Ambulance/Petrol Vehicle,The injure Person shifted to Jalappa Hospital,car,JalappaH,2015.0,11.0,27.0,9,0,1
303,304.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body & Injured person shifted to Govt Hospital,twowheeler,,2015.0,11.0,27.0,12,0,1
304,305.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to Two wheeler,0,3,0,0,Ambulance/Petrol Vehicle,The Injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,11.0,27.0,10,1,0
305,306.0,overspeed,1,2 & 5,fourlane,straight,junction,fine,The car hit to the road pedestrian the fault of car over speed,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2014.0,11.0,27.0,7,0,1
306,307.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,10.0,27.0,2,0,1
307,308.0,headoncollision,3,2,fourlane,straight,junction,fine,LCV over speed and Hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,10.0,27.0,10,1,0
308,309.0,skidding,3,3 & 9,fourlane,slightcurve,junction,fine,LCV over speed self accident due to defect in mechanical condition,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2018.0,1.0,27.0,5,1,0
309,310.0,headoncollision,2,5,fourlane,straight,junction,fine,Two wheeler over speed and hit to Multi axle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,twowheeler,,2017.0,1.0,27.0,5,0,1
310,311.0,others,2 & 3,3,fourlane,straight,junction,fine,Driver sleeping,0,1,2,0,Ambulance/Petrol Vehicle,The injure person shifted to MVJ Hospital,,MVJH,2015.0,1.0,27.0,1,1,0
311,312.0,overspeed,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,8.0,26.0,7,0,1
312,313.0,headoncollision,2,2 & 9,fourlane,straight,junction,fine,Two wheeler over speed and hit to Mini Bus,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Silcon city Hospital,twowheeler,siliconcityH,2017.0,7.0,26.0,4,0,1
313,314.0,headoncollision,3,2,fourlane,straight,junction,fine,Truck over speed hit to JCB,0,0,1,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station,truck,,2017.0,7.0,26.0,5,1,0
314,315.0,overspeed,1,3 & 7,fourlane,slightcurve,junction,fine,Car hit to road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to SNR Hospital,car,snrH,2015.0,7.0,26.0,3,0,1
315,316.0,headoncollision,2,3 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,6.0,26.0,4,0,1
316,317.0,skidding,1,7,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian. Fault of Road crossing pedestrian,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,car,MVJH,2016.0,6.0,26.0,9,1,0
317,318.0,skidding,3,1,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,5.0,26.0,1,1,0
318,319.0,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,car over speed and hit to Auto,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,3.0,26.0,3,0,1
319,320.0,skidding,1,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote,twowheeler,hoskoteH,2018.0,2.0,26.0,6,1,0
320,321.0,skidding,1 & 3,1 & 2,fourlane,slightcurve,junction,fine,Two wheeler over speed Drunk & Drive,1,0,1,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,2.0,26.0,9,0,1
321,322.0,others,2 & 4,2 & 4,fourlane,straight,staggeredjunction,fine,Bike over speed and vehicle skidding,0,1,0,1,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,2.0,26.0,8,0,1
322,323.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Multi Axle over speed and hit to Two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,12.0,26.0,3,0,1
323,324.0,others,2 & 3 & 4,2 & 3,fourlane,straight,junction,fine,Self accident due to vehicle tyre puncher and over speed vehicle out of control,0,1,2,8,Ambulance,The injured person shifted to Jalappa Hospital,,JalappaH,2014.0,11.0,26.0,7,0,1
324,325.0,others,2,4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2014.0,11.0,26.0,6,0,1
325,326.0,overspeed,3,2,fourlane,straight,junction,fine,Car over speed and hit to car. Negligence driving,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,10.0,26.0,10,0,1
326,327.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,1,0,1,0,Ambulance,The fatal body shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,10.0,26.0,10,0,1
327,328.0,overspeed,2,2 & 5,fourlane,straight,yjunction,fine,Car over speed in carriageway and overtaking the another vehicle and Cross the road of other vehicle to Hit in Junction portion,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2014.0,10.0,26.0,5,0,1
328,329.0,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,1.0,26.0,12,1,0
329,330.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,4,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,1.0,26.0,3,1,0
330,331.0,skidding,1,1,fourlane,straight,junction,fine,Self Accident Drunk & Drive,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,,JalappaH,2015.0,1.0,26.0,11,0,1
331,332.0,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,9.0,25.0,12,1,0
332,333.0,skidding,3,2,fourlane,slightcurve,junction,fine,Two wheeler over speed Self accident,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2016.0,9.0,25.0,8,1,0
333,334.0,headoncollision,2,9,fourlane,straight,junction,fine,Car over speed vehicle out of control due to defects in mechanical condition and Hit to the two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2016.0,8.0,25.0,9,0,1
334,335.0,overspeed,2 & 3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Two wheeler,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Srinivasa Hospital,twowheeler,,2016.0,8.0,25.0,9,0,1
335,336.0,others,2 & 4,1,fourlane,straight,junction,fine,Drunken and Drive,0,1,0,1,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital,,,2014.0,8.0,25.0,3,0,1
336,337.0,skidding,3 & 4,2,fourlane,straight,junction,fine,Omini,0,0,2,3,Ambulance/Petrol Vehicle,Shifted to RL Jalappa Hospital Kolar,,JalappaH,2014.0,7.0,25.0,3,0,1
337,338.0,headoncollision,3,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,6.0,25.0,9,0,1
338,339.0,headoncollision,1,2 & 5,fourlane,slightcurve,junction,fine,car over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2017.0,6.0,25.0,11,1,0
339,340.0,overspeed,1,2,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,unknown,JalappaH,2017.0,6.0,25.0,8,0,1
340,341.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2016.0,6.0,25.0,7,0,1
341,342.0,headoncollision,2 & 3,5,fourlane,straight,junction,fine,Multi axle wrong route driving and hit to car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,6.0,25.0,8,0,1
342,343.0,skidding,3,1,fourlane,slightcurve,junction,fine,Bike drunk & drive,0,0,1,0,Ambulance,The injured person shifted to SNR Hospital,twowheeler,snrH,2015.0,6.0,25.0,2,1,0
343,344.0,skidding,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,twowheeler,,2017.0,5.0,25.0,2,0,1
344,345.0,others,3,2,fourlane,straight,junction,fine,Bike,0,0,1,1,Petrol Vehicle,Bike lost control by over speed (self accident),twowheeler,,2015.0,5.0,25.0,2,0,1
345,346.0,skidding,1,2 & 9,fourlane,straight,junction,fine,"Truck over speed, Self accident. Defect in mechanical conditions.",1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Private Hospital Hoskote,truck,hoskoteH,2016.0,12.0,25.0,11,0,1
346,347.0,headoncollision,2 & 3 & 4,2 & 3,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,2,Petrol Vehicle,The injured person shifted to SNR Hospital,car,snrH,2014.0,11.0,25.0,11,0,1
347,348.0,headoncollision,2 & 3 & 4,2 & 3,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,2,Petrol Vehicle,The injured person shifted to SNR Hospital,car,snrH,2014.0,11.0,25.0,11,0,1
348,349.0,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,3,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2017.0,10.0,25.0,6,1,0
349,350.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,0,2,0,0,Petrol Vehicle,The injured person shifted to Govt. Hospital Hoskote,unknown,hoskoteH,2018.0,1.0,25.0,1,0,1
350,351.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to Truck,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,1.0,25.0,11,0,1
351,352.0,headoncollision,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bike,0,1,1,2,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,1.0,25.0,9,1,0
352,353.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,9.0,24.0,1,1,0
353,354.0,overspeed,2,2,fourlane,straight,junction,fine,Car over speed hit to Three wheeler,0,5,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,9.0,24.0,2,0,1
354,355.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,8.0,24.0,11,0,1
355,356.0,overspeed,1,2,fourlane,straight,junction,fine,Unknown vehicle hit and run,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,unknown,JalappaH,2016.0,8.0,24.0,7,0,1
